project_id,title,mentor_id,topic_ids,required_skills
proj_0035,Undergraduate research studio: tooling for learning workflows,m_081,t_nlp,Python|HCI study methods
proj_0036,Undergraduate research studio: analysis for security workflows,m_085,t_opt,LaTeX|Statistics|C++
proj_0037,Undergraduate research studio: tooling for systems workflows,m_088,t_ml_core,HCI study methods|Networking
proj_0038,Undergraduate research studio: tooling for HCI workflows,m_092,t_nlp,Probability|HCI study methods|PyTorch|C++
proj_0039,Undergraduate research studio: analysis for security workflows,m_093,t_ml_core,CUDA|Rust|PyTorch|Linear algebra
proj_0040,Undergraduate research studio: benchmark for vision workflows,m_094,t_nlp,Probability|Algorithms
proj_0041,Undergraduate research studio: benchmark for systems workflows,m_095,t_ml_core,Networking|Systems programming|Linear algebra|Rust
proj_0042,Undergraduate research studio: prototype for language workflows,m_097,t_prob_ml,PyTorch|Probability|CUDA
proj_0043,Undergraduate research studio: tooling for learning workflows,m_099,t_arch,Systems programming|Probability
proj_0044,Undergraduate research studio: prototype for security workflows,m_101,t_sys,Linear algebra|LaTeX|Probability|Statistics
proj_0045,Undergraduate research studio: analysis for systems workflows,m_102,t_ml_core,HCI study methods|Linear algebra|Systems programming
proj_0046,Undergraduate research studio: tooling for language workflows,m_105,t_nlp,PyTorch|Probability|Python
proj_0047,Undergraduate research studio: prototype for vision workflows,m_106,t_ml_core,C++|Algorithms|Systems programming
proj_0048,Undergraduate research studio: tooling for HCI workflows,m_109,t_hci,Algorithms|HCI study methods|C++|Python
proj_0049,Undergraduate research studio: tooling for learning workflows,m_115,t_theory,PyTorch|CUDA
proj_0050,Undergraduate research studio: prototype for vision workflows,m_118,t_dist,PyTorch|Statistics|Systems programming|Python
proj_0051,Undergraduate research studio: benchmark for HCI workflows,m_120,t_prob_ml,Linear algebra|Algorithms|Probability
proj_0052,Undergraduate research studio: prototype for systems workflows,m_121,t_nlp,Statistics|Rust
proj_0053,Undergraduate research studio: benchmark for learning workflows,m_125,t_theory,Rust|Systems programming
proj_0054,Undergraduate research studio: analysis for HCI workflows,m_126,t_dist,LaTeX|Rust
proj_0055,Undergraduate research studio: benchmark for systems workflows,m_129,t_robot,PyTorch|Probability
proj_0056,Undergraduate research studio: benchmark for language workflows,m_130,t_ml_core,Linear algebra|Rust|PyTorch|Networking
proj_0057,Undergraduate research studio: benchmark for learning workflows,m_133,t_nlp,Statistics|C++
proj_0058,Undergraduate research studio: benchmark for learning workflows,m_135,t_edtech,Linear algebra|Probability|Python|HCI study methods
proj_0059,Undergraduate research studio: benchmark for security workflows,m_136,t_theory,Linear algebra|Systems programming
proj_0060,Undergraduate research studio: prototype for HCI workflows,m_139,t_theory,Probability|Statistics|Networking|C++
proj_0061,Undergraduate research studio: analysis for vision workflows,m_140,t_cv,Algorithms|HCI study methods|Linear algebra|LaTeX
proj_0062,Undergraduate research studio: tooling for systems workflows,m_141,t_robot,Python|HCI study methods
proj_0063,Undergraduate research studio: tooling for systems workflows,m_145,t_ml_core,Python|C++|CUDA|Systems programming
proj_0064,Undergraduate research studio: prototype for HCI workflows,m_146,t_cv,CUDA|Probability|Statistics
proj_0065,Undergraduate research studio: prototype for learning workflows,m_148,t_ml_core,Probability|HCI study methods|Networking|Algorithms
proj_0066,Undergraduate research studio: analysis for learning workflows,m_149,t_ml_core,Systems programming|Rust|Algorithms
proj_0067,Undergraduate research studio: prototype for systems workflows,m_150,t_prob_ml,Python|C++|PyTorch
proj_0068,Undergraduate research studio: tooling for security workflows,m_151,t_sys,Rust|Probability|C++
proj_0069,Undergraduate research studio: prototype for vision workflows,m_152,t_arch,Statistics|Rust
proj_0070,Undergraduate research studio: benchmark for security workflows,m_154,t_cv,Python|LaTeX
proj_0071,Undergraduate research studio: tooling for security workflows,m_155,t_ml_core,Python|Algorithms|Linear algebra|HCI study methods
proj_0072,Undergraduate research studio: tooling for systems workflows,m_156,t_nlp,C++|HCI study methods
proj_0073,Undergraduate research studio: tooling for language workflows,m_157,t_ml_core,Python|Probability|Statistics|Algorithms
proj_0074,Undergraduate research studio: tooling for language workflows,m_162,t_sys,C++|Rust
proj_0075,Undergraduate research studio: prototype for learning workflows,m_163,t_ml_core,Linear algebra|Systems programming
proj_0076,Undergraduate research studio: analysis for systems workflows,m_165,t_ml_core,CUDA|Rust|C++
proj_0077,Undergraduate research studio: prototype for vision workflows,m_169,t_robot,C++|Algorithms
proj_0078,Undergraduate research studio: prototype for learning workflows,m_172,t_robot,Rust|C++|Statistics|Networking
proj_0079,Undergraduate research studio: benchmark for systems workflows,m_173,t_nlp,Networking|PyTorch|Python|Algorithms
proj_0080,Undergraduate research studio: analysis for security workflows,m_174,t_hci,Systems programming|Linear algebra|CUDA|Algorithms
proj_0081,Undergraduate research studio: benchmark for language workflows,m_181,t_cv,CUDA|HCI study methods|Python
proj_0082,Undergraduate research studio: prototype for security workflows,m_187,t_opt,Rust|CUDA|Networking|PyTorch
proj_0083,Undergraduate research studio: prototype for vision workflows,m_188,t_deep,Statistics|C++
proj_0084,Undergraduate research studio: prototype for HCI workflows,m_191,t_ml_core,Linear algebra|Networking|Probability|CUDA
proj_0085,Undergraduate research studio: analysis for language workflows,m_194,t_cv,Probability|C++
proj_0086,Undergraduate research studio: benchmark for systems workflows,m_196,t_cv,Rust|LaTeX|CUDA|C++
