mentor_id,name,department,h_index
m_112,Brian Lee,College of Computing & Informatics,65
m_113,Jordan Simmons,Department of Computer & Information Science,25
m_114,Matthew Jenkins,College of Computing & Informatics,36
m_115,Jordan Torres,School of Computer Science,39
m_116,Eric Chavez,Department of Computing,35
m_117,Zara Gonzalez,Department of Computer & Information Science,13
m_118,Angela Bryant,Department of Computer Science,38
m_119,Brooke Lewis,Department of Computer & Information Science,29
m_120,Maria Wright,Department of Computer Science & Engineering,39
m_121,Rosa Allen,Department of Computer & Information Science,44
m_122,Ryan Nelson,Department of Computer & Information Science,52
m_123,Sophia Scott,School of Computer Science,26
m_124,David Jenkins,Department of Electrical Engineering & Computer Science,19
m_125,James Russell,Department of Computer Science & Engineering,47
m_126,Chloe Johnson,Department of Electrical Engineering & Computer Science,22
m_127,Rachel Singh,School of Computer Science,48
m_128,Amelia Baker,College of Computing & Informatics,33
m_129,Chloe Nguyen,College of Computing & Informatics,31
m_130,Brian Johnson,College of Computing & Informatics,64
m_131,Tyler Singh,School of Computer Science,38
m_132,Brooke James,Department of Computing,30
m_133,Joseph Hayes,Department of Computing,38
m_134,Justin Chen,Department of Computer Science & Engineering,48
m_135,Keiko Sanders,Department of Computer Science & Engineering,44
m_136,Henry Anderson,Department of Computer Science,46
m_137,Noah Nguyen,School of Computer Science,54
m_138,Sofia Wright,School of Computer Science,57
m_139,Angela Watson,School of Computer Science,33
m_140,Zara Price,Department of Computer Science & Engineering,40
m_141,Rosa Murphy,Department of Computing,59
m_142,Brooke Torres,Department of Computer Science,48
m_143,Sophia Perry,Department of Computing,12
m_144,Rosa Hayes,Department of Computer Science,28
m_145,Diego Allen,Department of Computer Science & Engineering,40
m_146,Jordan Wright,College of Computing & Informatics,34
m_147,Isabella Ward,Department of Computer & Information Science,52
m_148,Harper Hughes,Department of Computer Science,20
m_149,Jonathan Cole,Department of Computer & Information Science,17
m_150,Matthew Bailey,Department of Computer Science & Engineering,54
m_151,Aaron Gibson,Department of Computer Science & Engineering,30
m_152,Andrew Allen,College of Computing & Informatics,55
m_153,Joshua Howard,Department of Computer Science & Engineering,32
m_154,Angela Cole,Department of Computing,31
m_155,Olivia Murphy,Department of Computer Science & Engineering,46
m_156,Claire Clark,Department of Electrical Engineering & Computer Science,39
m_157,Yuki Nelson,College of Computing & Informatics,39
m_158,Diego Chen,Department of Computer Science,54
m_159,Rachel Cole,Department of Computer Science & Engineering,33
m_160,Carlos Brown,School of Computer Science,37
m_161,Ryan Russell,Department of Computer & Information Science,61
m_162,Brian King,Department of Computer Science & Engineering,17
m_163,Rachel Campbell,Department of Computing,34
m_164,Mei Martinez,College of Computing & Informatics,30
m_165,Arjun Butler,Department of Computing,35
m_166,Ryan Owens,Department of Computer & Information Science,52
m_167,Isabella Brown,Department of Computer Science,35
m_168,Olivia Wilson,Department of Computer & Information Science,30
m_169,Hannah Hall,Department of Computer & Information Science,20
m_170,Gregory Hayes,Department of Computer & Information Science,34
m_171,Rachel Ward,Department of Computer & Information Science,37
m_172,Carlos Powell,College of Computing & Informatics,25
m_173,Justin Gupta,Department of Computer Science & Engineering,39
m_174,Justin Lewis,Department of Computer & Information Science,58
m_175,Samuel Hall,Department of Computer Science & Engineering,41
m_176,Layla Cooper,Department of Electrical Engineering & Computer Science,45
m_177,Camila Patel,Department of Computer Science,23
m_178,Amelia Morgan,Department of Computer Science,34
m_179,Jason Owens,Department of Computer Science,46
m_180,Hannah Gonzalez,College of Computing & Informatics,15
m_181,Sara Wilson,Department of Computing,43
m_182,Isabella Cook,Department of Computing,19
m_183,Peter Li,Department of Computer Science & Engineering,53
m_184,Michael Russell,Department of Computer Science & Engineering,24
m_185,Kevin Hughes,Department of Computer & Information Science,38
m_186,Peter Brown,Department of Electrical Engineering & Computer Science,40
m_187,Brooke Peterson,School of Computer Science,41
m_188,Priya Martinez,College of Computing & Informatics,41
m_189,Michael Chavez,College of Computing & Informatics,40
m_190,Nina Perry,Department of Electrical Engineering & Computer Science,71
m_191,Harper Baker,Department of Computer & Information Science,58
m_192,David Russell,School of Computer Science,33
m_193,James Griffin,Department of Computer Science & Engineering,38
m_194,Arjun Hayes,Department of Computing,31
m_195,Elena Gibson,Department of Computing,33
m_196,Yuki Hughes,College of Computing & Informatics,45
m_197,Amelia Park,Department of Electrical Engineering & Computer Science,42
m_198,Henry Price,Department of Computer & Information Science,34
m_199,Justin Butler,Department of Computer Science,35
m_200,Justin Gonzalez,School of Computer Science,26
